"","x"
"1",0.001
"2",0.001
"3",0.00679266023302324
"4",0.001
"5",0.0969380812896077
"6",0.128283800964057
"7",0.489567384824578
"8",0.999
"9",0.001
"10",0.001
"11",0.0679267868689512
"12",0.0119380888490266
"13",0.193876651221115
"14",0.12828409841954
"15",0.587481729589643
"16",0.999
"17",0.001
"18",0.001
"19",0.126129711446352
"20",0.0615755942380713
"21",0.999
"22",0.529342722289982
"23",0.808048110644877
"24",0.412632623582299
"25",0.001
"26",0.001
"27",0.0679268508790912
"28",0.001
"29",0.001
"30",0.001
"31",0.001
"32",0.999
"33",0.001
"34",0.00103964702810862
"35",0.001
"36",0.001
"37",0.001
"38",0.001
"39",0.451909037166531
"40",0.999
"41",0.001
"42",0.0471245097669557
"43",0.999
"44",0.001
"45",0.001
"46",0.001
"47",0.001
"48",0.77482709297976
"49",0.001
"50",0.001
"51",0.0271707367114953
"52",0.001
"53",0.387753602580097
"54",0.256568404596754
"55",0.783309312891865
"56",0.999
"57",0.001
"58",0.00450513666797943
"59",0.0226422664554944
"60",0.001
"61",0.001
"62",0.001
"63",0.326378688395228
"64",0.999
"65",0.001
"66",0.00337885331981732
"67",0.0169817036102841
"68",0.001
"69",0.001
"70",0.001
"71",0.244784040035362
"72",0.999
"73",0.001
"74",0.00675770981576152
"75",0.101890272534278
"76",0.001
"77",0.001
"78",0.320710532080951
"79",0.489568291525597
"80",0.999
